,Unnamed: 0,State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,lat,long,lat,long
133,133,ABIA,BENDE,OZUITEM,01-04-10-001,ETITI OZU - ETITI OZU PRI. SCH. I,87,556,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,74,10,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3106/ward/17570/pu/887/887-1677591425.pdf,5.5570426,7.6304012,,
156,156,ABIA,BENDE,UMU - IMENYI,01-04-12-011,AMAEGBUATO - UMUEGWU NKPA HALL,111,491,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,5,102,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3106/ward/17572/pu/922/922-1677848111.pdf,5.6640736,7.4790938,,
160,160,ABIA,BENDE,UMU - IMENYI,01-04-12-019,AMAIMO - AMAIMO TOWN HALL,106,276,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,8,96,0,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3106/ward/17572/pu/930/930-1677690627.pdf,5.6706617,7.5138947,,
169,169,ABIA,BENDE,UZUAKOLI,01-04-13-004,AMAMBA - AMAOZU VILLAGE HALL,212,738,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,191,0,3,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3106/ward/17573/pu/942/942-1677593512.pdf,5.6301651,7.5653926,,
208,208,ABIA,IKWUANO,IBERE II,01-05-04-007,ITUNTA OBUORO COMMUNITY SCHOOL I,162,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,10,133,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/980/result_162142_1677501100_thumb.jpg,5.4492785,7.6388758,,
227,227,ABIA,IKWUANO,OBORO II,01-05-06-009,FEDERAL UNIVERSITY OF AGRIC. UMUDIKE III,503,4038,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,486,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1000/result_162174_1677505713_thumb.jpg,5.4728744,7.5479576,,
228,228,ABIA,IKWUANO,OBORO II,01-05-06-010,"NATIONAL ROOT CROPS RESEARCH INSTITUTE, UMUDIKE I",182,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,179,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1001/result_162175_1677506343_thumb.jpg,5.4760956,7.5477259,,
250,250,ABIA,IKWUANO,ARIAM,01-05-09-004,OBEAMA ARIAM MODEL SCHOOL I- OBEAMA,171,735,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,8,109,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1024/result_162212_1677500846_thumb.jpg,5.351964,7.606,,
253,253,ABIA,IKWUANO,ARIAM,01-05-09-008,OBEAMA VILLAGE SQUARE - OBEAMA,110,545,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,96,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1028/result_162216_1677503210_thumb.jpg,5.3599189,7.6185384,,
256,256,ABIA,IKWUANO,USAKA,01-05-10-001,"ARIAM USAKA CENTRAL SCHOOL
AMAEGBU",69,345,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,57,5,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1031/result_162225_1677504072_thumb.jpg,5.3599189,7.6185384,,
