,Unnamed: 0,State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,lat,long,lat,long
589,589,ABIA,OBINGWA,AHIABA,01-09-05-007,"UMUELENDU/UMUOKEA -
UMUELENDU HALL",163,838,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,153,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1509/result_162896_1677507359_thumb.jpg,5.1345998,7.3880589,,
595,595,ABIA,OBINGWA,AHIABA,01-09-05-013,OSAA / OKEA - OSAA / OKEA C.P.S,225,702,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,8,186,14,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1515/result_162902_1677510637_thumb.jpg,5.1574894,7.4002872,,
599,599,ABIA,OBINGWA,AHIABA,01-09-05-017,AMAUGBA NTIGHA AMAUGBA  VILLAGE SQUARE,222,1179,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,205,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1519/result_162906_1677507559_thumb.jpg,5.1415401,7.3822546,,
606,606,ABIA,OBINGWA,MABOKO AMAIRI,01-09-06-007,"UMUNKPI - UMUNKPI MARKET
SQUARE",118,451,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,82,9,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1527/result_162928_1677504506_thumb.jpg,5.1936626,7.4056928,,
607,607,ABIA,OBINGWA,MABOKO AMAIRI,01-09-06-008,"UMUEZI - UMUEZI MARKET 
SQUARE",151,682,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,118,15,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1528/result_162929_1677504184_thumb.jpg,5.204919,7.4106055,,
619,619,ABIA,OBINGWA,ALAUKWU OHANZE,01-09-07-009,UMUKO / UMUIKIMA - UMUKO   / UMUIKIMA MKT.,129,400,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,110,6,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1541/result_162946_1677500205_thumb.jpg,5.1578703,7.4895805,,
632,632,ABIA,OBINGWA,ALAUKWU OHANZE,01-09-07-024,"OHANZE UMUOJI - OHANZE 
UMUOJI HALL",204,748,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,146,51,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1556/result_162961_1677508293_thumb.jpg,5.1249458,7.4739755,,
636,636,ABIA,OBINGWA,ALAUKWU OHANZE,01-09-07-028,OGIDIALA AMAOKWE - OGIDIALA  VILLAGE SQUARE,76,431,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,39,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1560/result_162965_1677509388_thumb.jpg,5.1308032,7.4705935,,
661,661,ABIA,OBINGWA,NDIAKATA / AMAIRINABUA,01-09-09-021,"EKWEREAZU/UMUOGBALA 
ONICHA C.P.S",99,427,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,2,79,6,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1598/result_163029_1677512680_thumb.jpg,5.2400627,7.5254874,,
665,665,ABIA,OBINGWA,NDIAKATA / AMAIRINABUA,01-09-09-025,UMUOHIA / NWASUKA - OVUKWU HALL,53,317,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,30,16,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3111/ward/17622/pu/1608/1608-1677481329.pdf,5.1303468,7.4983674,,
667,667,ABIA,OBINGWA,NTIGHAUZO AMAIRI,01-09-10-004,"AMAUVURU I - AMAUVURU VILLAGE
SQUARE",67,401,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,34,23,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1606/result_163039_1677489129_thumb.jpg,5.0836988,7.468184,,
688,688,ABIA,OBINGWA,IBEME,01-09-11-016,"MKPUKPU OKPERE - MKPUKPU
OKPERE VILLAGE SQUARE",62,322,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,43,8,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3111/ward/17624/pu/1639/1639-1677477359.pdf,5.068275,7.5138947,,
690,690,ABIA,OBINGWA,IBEME,01-09-11-018,UMUAMAECHI  / UMUNWOGU  VILL HALL,64,451,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,32,23,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3111/ward/17624/pu/1641/1641-1677478215.pdf,5.068177,7.518557,,
695,695,ABIA,OHAFIA,EBEM OHAFIA,01-10-02-003,UGOMBA MBAKA HALL,98,478,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,93,1,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1679/result_163124_1677565350_thumb.jpg,5.6249243,7.8177601,,
704,704,ABIA,OHAFIA,EBEM OHAFIA,01-10-02-013,"HIGH SCH. PREMISES 
(FED. GOVT. COLLEGE)",153,713,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,145,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1689/result_163134_1677564627_thumb.jpg,5.6249243,7.8177601,,
705,705,ABIA,OHAFIA,EBEM OHAFIA,01-10-02-014,"UZO-OFURU - OKPU NKURU ROAD
JUNCTION",103,664,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,88,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1690/result_163135_1677564081_thumb.jpg,5.6257946,7.8291448,,
726,726,ABIA,OHAFIA,NDI ELU NKPORO,01-10-03-019,AMAEKE - ELEBE AMAEKE  HALL,30,326,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,17,9,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1711/result_163164_1677681672_thumb.jpg,5.7719569,7.7525352,,
732,732,ABIA,OHAFIA,NDI ETITI NKPORO,01-10-04-001,NDI ASIGHA / AKARONU / ANYA AMAUKWU - WOMEN HALL,38,377,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,38,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3112/ward/17628/pu/1723/1723-1677751410.pdf,5.7559095,7.7797049,,
736,736,ABIA,OHAFIA,NDI ETITI NKPORO,01-10-04-005,NDI ANYA / IKPE / UGBAGHA - NDI ANYA IKPE VILAGE HALL,62,630,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,62,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3112/ward/17628/pu/1727/1727-1677675371.pdf,5.7559095,7.7797049,,
739,739,ABIA,OHAFIA,NDI ETITI NKPORO,01-10-04-008,"NDI OKEA/ANUNU/EJITURU OKPO-
AMANGWU HALL",26,250,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,26,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3112/ward/17628/pu/1730/1730-1677674275.pdf,34.895067,128.6917769,,
741,741,ABIA,OHAFIA,NDI ETITI NKPORO,01-10-04-010,"NDI NSI/NDEM/NMA/MBA ETE -
UKWUAKWU VILLAGE HALL",41,551,TRUE,-1,TRUE,TRUE,TRUE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/04/pu/010/010-1677388842.pdf,5.7559095,7.7797049,,
743,743,ABIA,OHAFIA,NDI ETITI NKPORO,01-10-04-012,"OMAGHUZO - NDI NKO HEALTH
CENTRE NKPORO",48,807,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,43,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3112/ward/17628/pu/1734/1734-1677674488.pdf,5.8090683,7.7627226,,
745,745,ABIA,OHAFIA,NDI ETITI NKPORO,01-10-04-015,NDI ANUNU / NDU - OKEZIE AMANGWU HALL,42,258,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,42,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3112/ward/17628/pu/1737/1737-1677751074.pdf,5.7559095,7.7797049,,
747,747,ABIA,OHAFIA,AMAEKE ABIRIBA,01-10-05-001,AMAJA COMPOUND - AMANTA HALL,47,522,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,33,5,3,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3112/ward/17629/pu/1739/1739-1677688321.pdf,5.6817003,7.7406518,,
750,750,ABIA,OHAFIA,AMAEKE ABIRIBA,01-10-05-005,NDIREM-NDIAWA HALL (AMAEKE ABIRIBA),53,368,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,40,5,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3112/ward/17629/pu/1743/1743-1677689050.pdf,5.7304525,7.730807,,
762,762,ABIA,OHAFIA,AMAEKE ABIRIBA,01-10-05-018,AGBO MIRI - AGBO MIRI HALL,0,496,TRUE,-1,FALSE,FALSE,TRUE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3112/ward/17629/pu/1756/1756-1677773359.pdf,5.7304525,7.730807,,
766,766,ABIA,OHAFIA,AMAOGUDU ABIRIBA,01-10-06-001,NDI OKOCHA / UBAM - NDI OKOCHA VILLAGE SQUARE,91,699,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,62,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1755/result_163225_1677702933_thumb.jpg,5.6892622,7.6873706,,
769,769,ABIA,OHAFIA,AMAOGUDU ABIRIBA,01-10-06-004,"NDI ENWERE  , AMAMBA  - NDI ENWERE HALL AMAMBA",88,783,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,6,70,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1758/result_163228_1677699833_thumb.jpg,5.7069166,7.7335226,,
784,784,ABIA,OHAFIA,OHAFOR OHAFIA,01-10-08-018,NDI ONU COMPOUND - UKPA NDUKWE COMPOUND HALL,70,343,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,68,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/08/pu/018/018-1677379061.pdf,5.6432006,7.8398551,,
785,785,ABIA,OHAFIA,OHAFOR OHAFIA,01-10-08-023,NDI MBA AFIA AFOR II - NDI UMA ODEM HALL,98,572,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,8,35,1,3,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/10/ward/08/pu/023/023-1677379138.pdf,5.6432006,7.8398551,,
791,791,ABIA,OHAFIA,ANIA OHAFIA,01-10-10-007,UDARA AFIA OGO -  NDI ODO OKAMU SQUARE,103,548,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,12,86,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1833/result_163314_1677521595_thumb.jpg,5.6432006,7.8398551,,
792,792,ABIA,OHAFIA,ANIA OHAFIA,01-10-10-008,UKPACHE PRI. SCH. / NDI EMEA - UKPACHE PRI. SCH. PREMISES,20,131,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,14,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1834/result_163315_1677669742_thumb.jpg,5.6432006,7.8398551,,
794,794,ABIA,OHAFIA,ANIA OHAFIA,01-10-10-010,NDIUWA HALL ANIA OHAFIA,118,662,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,8,105,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1836/result_163317_1677521222_thumb.jpg,5.6432006,7.8398551,,
810,810,ABIA,OHAFIA,NDI AGBO NKPORO,01-10-11-003,NDI UKA NSI / NDI ANYA - WOMEN HALL UKWA,63,559,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,58,0,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3112/ward/17635/pu/1858/1858-1677516081.pdf,5.7981699,7.7471025,,
828,828,ABIA,OSISIOMA,AMAVO,01-11-01-004,UMUOYORONTA VILLAGE SQUARE,148,1016,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,98,22,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1870/result_163360_1677486359_thumb.jpg,5.2341671,7.319929,,
830,830,ABIA,OSISIOMA,AMAVO,01-11-01-006,UMUOKIRIKA VILLAGE SQ.,66,450,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,2,46,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1872/result_163362_1677488927_thumb.jpg,5.2341671,7.319929,,
843,843,ABIA,OSISIOMA,AMAITOLU MBUTU UMUOJIMA,01-11-02-014,OGWUGWU CROSSING,75,784,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,73,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1888/result_163382_1677570682_thumb.jpg,5.1068756,7.3030592,,
906,906,ABIA,OSISIOMA,UMUNNEISE,01-11-09-006,OKPUALA UMUGWOR SQUARE - OKPUALA UMUGWOR II,88,637,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,69,8,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1968/result_163639_1677509216_thumb.jpg,5.1991394,7.2966497,,
923,923,ABIA,UGWUNAGBO,WARD THREE,01-12-03-001,ABAYINCHOKORO 1- ABAYINCHOROKO CIVIC CENTRE,100,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,89,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1992/result_163674_1677567615_thumb.jpg,5.0282027,7.4056928,,
925,925,ABIA,UGWUNAGBO,WARD THREE,01-12-03-003,ABAYINCHOKORO 111- ABAYINCHOROKO PRI. SCHOOL,73,648,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,61,5,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1994/result_163676_1677568282_thumb.jpg,5.0282027,7.4056928,,
926,926,ABIA,UGWUNAGBO,WARD THREE,01-12-03-004,ABAYINCHOKORO 111- ABAYINCHOROKO PRI. SCHOOL,73,648,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,15,2,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1994/result_163676_1677568282_thumb.jpg,5.0282027,7.4056928,,
928,928,ABIA,UGWUNAGBO,WARD THREE,01-12-03-006,AMAPU IDEOBIA 111-AMAPU IDEOBIA PRI. SCHOOL,27,194,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,17,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1997/result_163679_1677569049_thumb.jpg,5.0282027,7.4056928,,
929,929,ABIA,UGWUNAGBO,WARD THREE,01-12-03-007,AMAPU IDEOBIA 111-AMAPU IDEOBIA PRI. SCHOOL,27,194,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,17,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1997/result_163679_1677569049_thumb.jpg,5.0282027,7.4056928,,
930,930,ABIA,UGWUNAGBO,WARD THREE,01-12-03-008,AMAPU IDEOBIA 111-AMAPU IDEOBIA PRI. SCHOOL,27,194,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,28,9,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1997/result_163679_1677569049_thumb.jpg,5.0282027,7.4056928,,
931,931,ABIA,UGWUNAGBO,WARD THREE,01-12-03-009,AMAPU IDEOBIA 111-AMAPU IDEOBIA PRI. SCHOOL,27,194,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,14,4,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/1997/result_163679_1677569049_thumb.jpg,5.0282027,7.4056928,,
941,941,ABIA,UGWUNAGBO,WARD FOUR,01-12-04-007,NKPUKPU EBULA 111-NKPUNKPU EBULA VIL. HALL,126,1527,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,115,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2010/result_163694_1677605415_thumb.jpg,5.0646636,7.3786689,,
942,942,ABIA,UGWUNAGBO,WARD FOUR,01-12-04-008,NKPUKPU EBULA 111-NKPUNKPU EBULA VIL. HALL,126,1527,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2010/result_163694_1677605415_thumb.jpg,5.0646636,7.3786689,,
943,943,ABIA,UGWUNAGBO,WARD FOUR,01-12-04-009,UMUELE OSOAMADI 1-UMUELE OSOAMADI VIL.HALL,52,750,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,50,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2012/result_163696_1677607036_thumb.jpg,5.0646636,7.3786689,,
944,944,ABIA,UGWUNAGBO,WARD FOUR,01-12-04-010,UMUELE OSOAMADI 1-UMUELE OSOAMADI VIL.HALL,52,750,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,73,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2012/result_163696_1677607036_thumb.jpg,5.0646636,7.3786689,,
945,945,ABIA,UGWUNAGBO,WARD FOUR,01-12-04-011,UMUELE OSOAMADI 1-UMUELE OSOAMADI VIL.HALL,52,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,47,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2012/result_163696_1677607036_thumb.jpg,5.0646636,7.3786689,,
946,946,ABIA,UGWUNAGBO,WARD FOUR,01-12-04-012,UMUELE OSOAMADI 1-UMUELE OSOAMADI VIL.HALL,52,750,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,2,50,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2012/result_163696_1677607036_thumb.jpg,5.0646636,7.3786689,,
947,947,ABIA,UGWUNAGBO,WARD FOUR,01-12-04-013,UMUELE OSOAMADI 1-UMUELE OSOAMADI VIL.HALL,52,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,3,78,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2012/result_163696_1677607036_thumb.jpg,5.0646636,7.3786689,,
948,948,ABIA,UGWUNAGBO,WARD FOUR,01-12-04-014,OSUSU UMUELENDU 11-OSUSU UMUELENDU VIL. HALL,47,571,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,40,3,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2017/result_163701_1677576500_thumb.jpg,5.0646636,7.3786689,,
953,953,ABIA,UGWUNAGBO,WARD FIVE,01-12-05-002,AKANU NGWA 11- AKANU NGWA CIVIC CENTRE,63,583,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,45,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2022/result_163726_1677514636_thumb.jpg,4.9944413,7.3671871,,
954,954,ABIA,UGWUNAGBO,WARD FIVE,01-12-05-003,AKANU NGWA 111-AMUZU AKANU MARKT. SQUARE,83,687,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,53,17,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2023/result_163727_1677514744_thumb.jpg,4.9944413,7.3671871,,
955,955,ABIA,UGWUNAGBO,WARD FIVE,01-12-05-006,AKANU NGWA VI- UMUCHIMA SQUARE I,45,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,35,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2026/result_163730_1677515010_thumb.jpg,4.9944413,7.3671871,,
956,956,ABIA,UGWUNAGBO,WARD FIVE,01-12-05-007,AKANU NGWA V11-UMUADA CIVIC CENTRE,34,330,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2027/result_163731_1677658770_thumb.jpg,4.9944413,7.3671871,,
957,957,ABIA,UGWUNAGBO,WARD FIVE,01-12-05-008,AKANU NGWA V11-UMUADA CIVIC CENTRE,34,330,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,19,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2027/result_163731_1677658770_thumb.jpg,4.9944413,7.3671871,,
958,958,ABIA,UGWUNAGBO,WARD FIVE,01-12-05-010,AMAOKPU UMUITIRI 1-AMAOKPU UMUITIRI HALL,53,324,TRUE,-1,FALSE,FALSE,TRUE,FALSE,UNKNOWN,0,0,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2030/result_163734_1677515236_thumb.jpg,5.0143254,7.3763913,,
959,959,ABIA,UGWUNAGBO,WARD FIVE,01-12-05-011,AMAOKPU UMUITIRI 11- AMAOKPU CIVIC HALL,50,839,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,44,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2031/result_163735_1677515465_thumb.jpg,5.0143254,7.3763913,,
961,961,ABIA,UGWUNAGBO,WARD SIX,01-12-06-005,UMUCHUKWU 1- UMUCHUKWU CIVIC CENTRE,19,179,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,16,2,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2037/result_163744_1677694036_thumb.jpg,5.0443677,7.3462545,,
962,962,ABIA,UGWUNAGBO,WARD SIX,01-12-06-006,UMUCHUKWU 11- UMUCHUKWU MARKET SQUARE,65,387,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,1,39,14,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2038/result_163745_1677697187_thumb.jpg,5.0443677,7.3462545,,
963,963,ABIA,UGWUNAGBO,WARD SIX,01-12-06-007,AMUZU AMAIKORO 1 - AMUZU AMAIKORO CIVIC HALL,42,207,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,23,12,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2039/result_163746_1677695236_thumb.jpg,5.0443677,7.3462545,,
964,964,ABIA,UGWUNAGBO,WARD SIX,01-12-06-009,AMUZU AMAIKORO 11-AMUZU AMAIKORO MKT. SQ,52,288,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,1,24,6,3,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3114/ward/17651/pu/2046/2046-1677596198.pdf,5.0443677,7.3462545,,
965,965,ABIA,UGWUNAGBO,WARD SEVEN,01-12-07-001,ASA UMUNKA  I - ASA UMANKA PRIMARY SCHOOL I,62,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,17,50,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2043/result_163750_1677510761_thumb.jpg,5.0407525,7.3233035,,
966,966,ABIA,UGWUNAGBO,WARD SEVEN,01-12-07-002,ASA UMUNKA  I - ASA UMANKA PRIMARY SCHOOL I,62,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,4,63,8,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2043/result_163750_1677510761_thumb.jpg,5.0407525,7.3233035,,
967,967,ABIA,UGWUNAGBO,WARD SEVEN,01-12-07-003,ASA UMUNKA  I - ASA UMANKA PRIMARY SCHOOL I,62,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,67,8,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2043/result_163750_1677510761_thumb.jpg,5.0407525,7.3233035,,
968,968,ABIA,UGWUNAGBO,WARD SEVEN,01-12-07-004,ASA NNETU II - ASA NNETU  MOTOR PARTS MARKET I,89,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,86,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2046/result_163753_1677511272_thumb.jpg,5.0675848,7.3489551,,
969,969,ABIA,UGWUNAGBO,WARD SEVEN,01-12-07-005,ASA NNETU III - ASA NNETU  MOTOR PARTS MARKET II,113,976,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,110,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2047/result_163754_1677511473_thumb.jpg,5.0675848,7.3489551,,
970,970,ABIA,UGWUNAGBO,WARD SEVEN,01-12-07-006,ASA NNETU III - ASA NNETU  MOTOR PARTS MARKET II,113,976,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,67,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2047/result_163754_1677511473_thumb.jpg,5.0675848,7.3489551,,
971,971,ABIA,UGWUNAGBO,WARD SEVEN,01-12-07-007,ASA NNETU III - ASA NNETU  MOTOR PARTS MARKET II,113,976,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,0,104,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2047/result_163754_1677511473_thumb.jpg,5.0675848,7.3489551,,
972,972,ABIA,UGWUNAGBO,WARD SEVEN,01-12-07-008,ASA NNETU III - ASA NNETU  MOTOR PARTS MARKET II,113,976,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,43,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2047/result_163754_1677511473_thumb.jpg,5.0675848,7.3489551,,
973,973,ABIA,UGWUNAGBO,WARD SEVEN,01-12-07-009,ASA NNETU III - ASA NNETU  MOTOR PARTS MARKET II,113,976,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,47,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2047/result_163754_1677511473_thumb.jpg,5.0675848,7.3489551,,
974,974,ABIA,UGWUNAGBO,WARD SEVEN,01-12-07-010,ASA NNETU III - ASA NNETU  MOTOR PARTS MARKET II,113,976,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,47,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/2047/result_163754_1677511473_thumb.jpg,5.0675848,7.3489551,,
